,Close,High,Open,Low
0,0.2780554325376634,0.23147408203258132,0.3177168854467067,0.317385250806658
1,0.3127913651308113,0.26365792027699103,0.3486573008070994,0.3486429807280127
2,0.345860755744829,0.29202427819820065,0.3754567981078268,0.3787778294097232
3,0.3743983022725147,0.3159882717092869,0.3986044013213149,0.4054345571759576
4,0.3990776634075387,0.3364957478865529,0.4185684119938457,0.42872315489308066
5,0.4203679655882009,0.35410061495065787,0.4357662616770368,0.44890420202331893
6,0.4387102299508876,0.3692337236126742,0.45057349850737066,0.46632678292582197
7,0.4545035937331221,0.38225042608971793,0.4633194162227042,0.4813424998078595
8,0.4680986726865133,0.3934500008345981,0.4742897741709298,0.49427380454937464
9,0.4798000239251772,0.40308742094511135,0.48373144117424166,0.5054060713862151
10,0.4898708712130807,0.4113810970127075,0.4918572486809974,0.5149880149156689
11,0.4985381912631176,0.41851859139252345,0.49885051015290566,0.5232349168890876
12,0.5059974988772667,0.4246611627436323,0.5048690463929566,0.5303325407756707
13,0.5124171264940472,0.4299475292799237,0.5100487035758096,0.5364409510034617
14,0.517941971110699,0.43449704893017843,0.5145064022096366,0.5416979781413201
15,0.5226967442357523,0.4384124330514824,0.5183427695502392,0.5462222716791328
16,0.5267887788637219,0.44178207271499975,0.5216444084357091,0.5501159552479197
17,0.5303104491668312,0.44468203710996995,0.5244858512027964,0.5534669228103462
18,0.5333412544897908,0.4471777919627805,0.5269312417813814,0.5563508191800343
19,0.5359496134901697,0.4493256778658071,0.5290357835386835,0.5588327462225532
20,0.5381944084500231,0.4511741823249621,0.5308469853988548,0.560968731925792
21,0.5401263144322873,0.4527650344145721,0.5324057343056415,0.5628069949770663
22,0.5417889432123292,0.45413414681927416,0.5337472182135334,0.5643890331858106
23,0.5432198277787673,0.45531242655613796,0.5349017204336016,0.5657505602399578
24,0.5444512696164582,0.4563264726893697,0.5358953032620761,0.5669223119101411
25,0.5455110678940003,0.45719917679240346,0.5367503963226868,0.5679307398884345
26,0.5464231470149554,0.45795023971418153,0.5374863029036803,0.5687986089195699
27,0.5472080966987061,0.4585966163160264,0.5381196357195723,0.5695455107025312
